MonthDateKey,DepartmentKey,RoleKey,BudgetedHeadcount,BudgetedAvgMonthlyPayCredits,BudgetedPayrollCostCredits
20190101,1,3,3993,19098,76258314
20190201,1,3,3993,19098,76258314
20190301,1,3,3993,19098,76258314
20190401,1,3,3993,19098,76258314
20190501,1,3,3993,19098,76258314
20190601,1,3,3993,19098,76258314
20190701,1,3,3993,19098,76258314
20190801,1,3,3993,19098,76258314
20190901,1,3,3993,19098,76258314
20191001,1,3,3993,19098,76258314
20191101,1,3,3993,19098,76258314
20191201,1,3,3993,19098,76258314
20200101,1,3,4582,18951,86833482
20200201,1,3,4582,18951,86833482
20200301,1,3,4582,18951,86833482
20200401,1,3,4582,18951,86833482
20200501,1,3,4582,18951,86833482
20200601,1,3,4582,18951,86833482
20200701,1,3,4582,18951,86833482
20200801,1,3,4582,18951,86833482
20200901,1,3,4582,18951,86833482
20201001,1,3,4582,18951,86833482
20201101,1,3,4582,18951,86833482
20201201,1,3,4582,18951,86833482
20210101,1,3,4562,19768,90181616
20210201,1,3,4562,19768,90181616
20210301,1,3,4562,19768,90181616
20210401,1,3,4562,19768,90181616
20210501,1,3,4562,19768,90181616
20210601,1,3,4562,19768,90181616
20210701,1,3,4562,19768,90181616
20210801,1,3,4562,19768,90181616
20210901,1,3,4562,19768,90181616
20211001,1,3,4562,19768,90181616
20211101,1,3,4562,19768,90181616
20211201,1,3,4562,19768,90181616
20220101,1,3,5785,18753,108486105
20220201,1,3,5785,18753,108486105
20220301,1,3,5785,18753,108486105
20220401,1,3,5785,18753,108486105
20220501,1,3,5785,18753,108486105
20220601,1,3,5785,18753,108486105
20220701,1,3,5785,18753,108486105
20220801,1,3,5785,18753,108486105
20220901,1,3,5785,18753,108486105
20221001,1,3,5785,18753,108486105
20221101,1,3,5785,18753,108486105
20221201,1,3,5785,18753,108486105
20230101,1,3,6441,18723,120594843
20230201,1,3,6441,18723,120594843
20230301,1,3,6441,18723,120594843
20230401,1,3,6441,18723,120594843
20230501,1,3,6441,18723,120594843
20230601,1,3,6441,18723,120594843
20230701,1,3,6441,18723,120594843
20230801,1,3,6441,18723,120594843
20230901,1,3,6441,18723,120594843
20231001,1,3,6441,18723,120594843
20231101,1,3,6441,18723,120594843
20231201,1,3,6441,18723,120594843
20240101,1,3,6713,18425,123687025
20240201,1,3,6713,18425,123687025
20240301,1,3,6713,18425,123687025
20240401,1,3,6713,18425,123687025
20240501,1,3,6713,18425,123687025
20240601,1,3,6713,18425,123687025
20240701,1,3,6713,18425,123687025
20240801,1,3,6713,18425,123687025
20240901,1,3,6713,18425,123687025
20241001,1,3,6713,18425,123687025
20241101,1,3,6713,18425,123687025
20241201,1,3,6713,18425,123687025
20190101,1,4,7728,11915,92079120
20190201,1,4,7728,11915,92079120
20190301,1,4,7728,11915,92079120
20190401,1,4,7728,11915,92079120
20190501,1,4,7728,11915,92079120
20190601,1,4,7728,11915,92079120
20190701,1,4,7728,11915,92079120
20190801,1,4,7728,11915,92079120
20190901,1,4,7728,11915,92079120
20191001,1,4,7728,11915,92079120
20191101,1,4,7728,11915,92079120
20191201,1,4,7728,11915,92079120
20200101,1,4,8839,12114,107075646
20200201,1,4,8839,12114,107075646
20200301,1,4,8839,12114,107075646
20200401,1,4,8839,12114,107075646
20200501,1,4,8839,12114,107075646
20200601,1,4,8839,12114,107075646
