EngagementID,EventDateKey,PlannedDateKey,StartDateKey,EndDateKey,DepartmentKey,PlanetKey,FactionKey,EngagementTypeKey,Status,FriendlyLosses,EnemyLosses,FriendlyCraftLost,EnemyCraftLost,OrdnanceExpended,DurationHours,SuperlaserStrike,PlanetDestroyed
ENG0000001,20190101,20190101,20190101,20190106,16,9,4,8,Lost,342,821,4,6,105,25.1,No,No
ENG0000002,20190206,20190202,20190206,20190207,16,12,1,6,Won,55,146,0,0,234,9.7,No,No
ENG0000003,20190304,20190225,20190304,20190306,5,8,2,4,Won,80,294,0,0,62,5.1,No,No
ENG0000004,20190501,20190416,20190501,20190501,19,7,4,1,Won,19,43,0,0,38,1.9,No,No
ENG0000005,20190518,20190510,20190518,20190520,19,0,3,1,Won,5,16,0,0,17,3.1,No,No
ENG0000006,20190524,20190513,20190524,20190524,19,7,4,1,Lost,7,19,0,0,36,3.7,No,No
ENG0000007,20190525,20190508,20190525,20190526,19,11,4,1,Lost,26,72,0,0,7,6.5,No,No
ENG0000008,20190603,20190522,20190603,20190605,19,11,0,1,Won,10,0,1,0,21,5.3,No,No
ENG0000009,20190620,20190611,20190620,20190622,19,11,4,1,Won,3,6,0,0,20,3.9,No,No
ENG0000010,20190621,20190601,20190621,20190623,19,7,4,1,Won,5,17,0,0,5,1.8,No,No
ENG0000011,20190630,20190627,20190630,20190630,19,13,4,2,Won,7,15,0,0,25,7.3,No,No
ENG0000012,20190708,20190704,20190708,20190711,5,12,1,5,Won,10,39,0,0,64,14.9,No,No
ENG0000013,20190801,20190731,20190801,20190802,16,6,2,6,Won,56,98,0,0,48,23.7,No,No
ENG0000014,20190825,20190822,20190825,20190825,2,11,2,7,Won,78,197,0,0,86,30.1,No,No
ENG0000015,20190826,20190806,20190826,20190827,5,7,7,4,Aborted,84,298,0,0,40,11.1,No,No
ENG0000016,20190902,20190822,20190902,20190903,16,14,1,8,Won,24,49,2,4,59,26.1,No,No
ENG0000017,20190907,20190819,20190907,20190907,19,0,4,1,Won,16,41,0,0,11,7.3,No,No
ENG0000018,20190910,20190830,20190910,20190912,19,7,4,1,Won,6,18,0,0,23,7.7,No,No
ENG0000019,20190913,20190826,20190913,20190914,19,13,6,1,Won,7,10,0,0,32,4.3,No,No
ENG0000020,20190923,20190916,20190923,20190923,5,9,4,4,Won,135,429,1,1,26,6.7,No,No
ENG0000021,20191110,20191101,20191110,20191112,16,14,1,6,Won,40,159,0,0,110,19.8,No,No
ENG0000022,20191112,20191110,20191112,20191116,16,10,3,8,Won,56,105,0,0,301,15.8,No,No
ENG0000023,20191122,20191121,20191122,20191123,2,8,6,7,Won,86,180,6,10,104,9.6,No,No
ENG0000024,20191123,20191110,20191123,20191126,5,13,3,4,Won,90,299,0,0,44,14.5,No,No
ENG0000025,20191126,20191117,20191126,20191128,19,11,4,2,Won,8,21,0,0,34,7.2,No,No
ENG0000026,20191128,20191114,20191128,20191130,16,11,5,6,Won,7,13,2,4,78,3.7,No,No
ENG0000027,20191210,20191204,20191210,20191210,19,0,3,1,Won,46,83,0,0,2,6.0,No,No
ENG0000028,20191219,20191201,20191219,20191219,19,7,4,3,Won,69,140,3,3,23,13.1,No,No
ENG0000029,20191229,20191211,20191229,20191229,5,14,7,4,Won,20,77,0,0,45,9.0,No,No
