MonthDateKey,DepartmentKey,RoleKey,Headcount,Hires,Separations,CombatLosses,AverageMonthlyPayCredits,PayrollCostCredits
20190131,1,7,47559,1830,403,108,5100,242550900
20190131,1,9,18430,627,74,0,7800,143754000
20190131,1,3,3729,149,37,0,19000,70851000
20190131,1,4,7710,303,71,0,12500,96375000
20190131,1,16,17227,632,115,0,600,10336200
20190131,2,7,41765,1606,353,58,5100,213001500
20190131,2,10,8900,366,99,0,6400,56960000
20190131,2,4,4804,175,30,0,12500,60050000
20190131,2,16,3906,164,46,0,600,2343600
20190131,3,7,24161,1073,348,71,5100,123221100
20190131,3,10,6887,285,78,0,6400,44076800
20190131,3,4,3605,133,24,0,12500,45062500
20190131,3,16,3101,107,13,0,600,1860600
20190131,4,10,18418,629,76,0,6400,117875200
20190131,4,8,11636,413,63,0,4400,51198400
20190131,4,4,7008,244,33,0,12500,87600000
20190131,4,16,7420,306,83,0,600,4452000
20190131,4,3,2519,103,27,0,19000,47861000
20190131,5,10,11902,446,88,0,6400,76172800
20190131,5,8,7075,288,75,0,4400,31130000
20190131,5,4,4473,173,38,0,12500,55912500
20190131,5,16,4471,153,18,0,600,2682600
20190131,5,3,1462,59,15,0,19000,27778000
20190131,6,9,65891,2483,506,0,7800,513949800
20190131,6,10,22819,900,215,0,6400,146041600
20190131,6,16,13613,550,141,0,600,8167800
20190131,6,3,3338,133,32,0,19000,63422000
20190131,6,4,5771,204,30,0,12500,72137500
20190131,7,10,22289,825,156,0,6400,142649600
20190131,7,8,13892,482,65,0,4400,61124800
20190131,7,4,8770,324,60,0,12500,109625000
20190131,7,16,9022,348,77,0,600,5413200
20190131,7,3,2976,112,22,0,19000,56544000
20190131,8,10,15235,538,80,0,6400,97504000
20190131,8,8,9607,386,97,0,4400,42270800
20190131,8,4,5699,213,42,0,12500,71237500
20190131,8,16,5605,234,65,0,600,3363000
20190131,8,3,1879,71,14,0,19000,35701000
20190131,9,10,19591,751,163,0,6400,125382400
20190131,9,8,12518,456,80,0,4400,55079200
20190131,9,4,7136,255,40,0,12500,89200000
20190131,9,16,6927,273,65,0,600,4156200
20190131,9,3,2363,80,9,0,19000,44897000
20190131,10,10,19531,721,135,0,6400,124998400
20190131,10,8,12166,442,77,0,4400,53530400
20190131,10,4,7156,270,55,0,12500,89450000
20190131,10,16,7573,271,43,0,600,4543800
20190131,10,3,2332,95,25,0,19000,44308000
20190131,11,10,31262,1182,244,0,6400,200076800
20190131,11,8,19946,813,214,0,4400,87762400
20190131,11,4,11577,477,129,0,12500,144712500
20190131,11,16,12087,442,79,0,600,7252200
20190131,11,3,3968,152,32,0,19000,75392000
20190131,12,10,11391,469,127,0,6400,72902400
20190131,12,8,7570,315,87,0,4400,33308000
20190131,12,4,4379,176,44,0,12500,54737500
20190131,12,16,4330,163,33,0,600,2598000
20190131,12,3,1449,56,12,0,19000,27531000
20190131,13,13,7435,293,69,0,2800,20818000
20190131,13,16,1677,70,19,0,600,1006200
20190131,13,10,570,24,6,0,6400,3648000
20190131,13,4,194,7,1,0,12500,2425000
20190131,14,12,14645,561,121,0,3100,45399500
20190131,14,16,2775,111,27,0,600,1665000
20190131,14,4,790,30,6,0,12500,9875000
20190131,14,18,798,32,8,0,8500,6783000
20190131,15,11,12649,435,55,0,9200,116370800
20190131,15,12,3011,108,17,0,3100,9334100
20190131,15,16,7015,280,69,0,600,4209000
20190131,15,10,3487,146,41,0,6400,22316800
20190131,15,4,2251,78,10,0,12500,28137500
20190131,16,5,52318,2289,719,277,4200,219735600
20190131,16,3,2091,81,18,0,19000,39729000
20190131,16,4,4217,169,42,0,12500,52712500
20190131,16,10,2654,104,24,0,6400,16985600
20190131,16,16,4618,187,48,0,600,2770800
20190131,17,14,5803,234,59,0,4600,26693800
20190131,17,5,2164,97,32,7,4200,9088800
20190131,17,16,1003,41,10,0,600,601800
20190131,17,4,583,20,2,0,12500,7287500
20190131,18,15,12988,500,110,0,11500,149362000
20190131,18,4,2252,86,18,0,12500,28150000
20190131,18,8,2376,97,25,0,4400,10454400
20190131,18,3,1176,43,7,0,19000,22344000
20190131,19,6,26442,1058,264,113,5600,148075200
20190131,19,10,18120,702,158,0,6400,115968000
20190131,19,16,8922,322,54,0,600,5353200
20190131,19,4,3025,109,18,0,12500,37812500
20190131,19,3,1117,39,5,0,19000,21223000
