SnapshotDateKey,ItemKey,LocationKey,OnHandQty,OnOrderQty,ReorderPoint,UnitCostCredits,InventoryValueCredits,StockStatus
20190107,1,7,832,0,744,180,149760,Low
20190107,1,8,867,4294,972,180,156060,Reorder
20190107,2,4,1524,0,821,90,137160,In Stock
20190107,2,7,895,0,819,90,80550,Low
20190107,2,9,2702,0,1122,90,243180,In Stock
20190107,3,6,293,1024,365,640,187520,Reorder
20190107,4,11,160,1469,221,420,67200,Reorder
20190107,5,9,3829,0,797,75,287175,In Stock
20190107,5,8,1560,0,1066,75,117000,In Stock
20190107,5,7,3022,0,731,75,226650,In Stock
20190107,6,8,1101,0,339,1200,1321200,In Stock
20190107,6,7,1289,0,380,1200,1546800,In Stock
20190107,6,9,227,1346,339,1200,272400,Reorder
20190107,7,8,387,0,318,320,123840,Low
20190107,8,9,2335,0,827,140,326900,In Stock
20190107,8,7,1985,0,1114,140,277900,In Stock
20190107,8,8,2779,0,768,140,389060,In Stock
20190107,9,10,3518,0,802,60,211080,In Stock
20190107,9,13,2105,0,995,60,126300,In Stock
20190107,10,2,2177,0,1025,110,239470,In Stock
20190107,10,10,3746,0,957,110,412060,In Stock
20190107,10,11,2358,0,1085,110,259380,In Stock
20190107,11,14,129,0,76,4800,619200,In Stock
20190107,12,14,298,0,72,3100,923800,In Stock
20190107,13,14,191,0,49,9500,1814500,In Stock
20190107,14,14,121,0,76,12400,1500400,In Stock
20190107,15,3,738,0,324,240,177120,In Stock
20190107,15,14,1372,0,220,240,329280,In Stock
20190107,16,14,817,0,382,1900,1552300,In Stock
20190107,17,10,166,0,74,7300,1211800,In Stock
20190107,17,12,194,0,47,7300,1416200,In Stock
20190107,17,6,75,0,64,7300,547500,Low
20190107,18,12,236,0,74,18600,4389600,In Stock
20190107,18,2,220,0,76,18600,4092000,In Stock
20190107,19,3,97,0,70,5400,523800,In Stock
20190107,19,11,235,0,75,5400,1269000,In Stock
20190107,20,10,697,0,284,860,599420,In Stock
20190107,21,12,2252,0,1221,140,315280,In Stock
20190107,21,13,3833,0,860,140,536620,In Stock
20190107,22,2,478,0,366,980,468440,In Stock
20190107,22,11,387,0,257,980,379260,In Stock
20190107,22,12,231,1378,263,980,226380,Reorder
20190107,23,11,158,0,55,6200,979600,In Stock
20190107,24,11,8,41,10,44000,352000,Reorder
20190107,24,2,37,0,12,44000,1628000,In Stock
20190107,24,10,56,0,12,44000,2464000,In Stock
20190107,25,6,13,0,8,21500,279500,In Stock
20190107,25,11,19,0,9,21500,408500,In Stock
20190107,26,3,637,0,349,310,197470,In Stock
20190107,27,1,175,0,66,2700,472500,In Stock
20190107,28,5,270,0,56,8900,2403000,In Stock
20190107,29,13,1204,0,251,430,517720,In Stock
20190107,29,2,1356,0,243,430,583080,In Stock
20190107,30,5,681,0,218,520,354120,In Stock
20190107,30,11,878,0,268,520,456560,In Stock
20190107,31,4,42,0,8,96000,4032000,In Stock
20190107,31,1,24,0,10,96000,2304000,In Stock
20190107,32,1,153,0,77,3400,520200,In Stock
20190107,32,4,55,0,51,3400,187000,Low
20190107,33,1,133,0,62,5900,784700,In Stock
20190107,33,4,222,0,57,5900,1309800,In Stock
