SnapshotDateKey,ConditionKey,ThreatIndex,TIESquadronsOperational,TIESquadronsTotal,SuperlaserChargePct,ShieldIntegrityPct,TurbolaserBatteriesOnline,TurbolaserBatteriesTotal,SortiesFlown
20190101,1,15.2,71,84,0.0,100.0,4776,5000,31
20190102,1,17.0,74,84,0.0,100.0,4819,5000,24
20190103,1,11.6,75,84,0.0,100.0,4661,5000,20
20190104,1,13.1,69,84,0.0,100.0,4585,5000,18
20190105,1,16.5,76,84,0.0,100.0,4864,5000,39
20190106,1,12.9,68,84,0.0,100.0,4725,5000,13
20190107,1,10.6,79,84,0.0,100.0,4908,5000,50
20190108,1,8.3,72,84,0.0,100.0,4579,5000,39
20190109,1,16.4,72,84,0.0,100.0,4835,5000,37
20190110,1,9.8,76,84,0.0,100.0,4536,5000,53
20190111,1,14.5,74,84,0.0,100.0,4909,5000,27
20190112,1,15.1,72,84,0.0,100.0,4574,5000,34
20190113,1,6.5,72,84,0.0,100.0,4501,5000,31
20190114,1,8.0,79,84,0.0,100.0,4635,5000,28
20190115,1,8.0,79,84,0.0,100.0,4598,5000,36
20190116,1,14.5,78,84,0.0,100.0,4523,5000,45
20190117,1,11.0,71,84,0.0,100.0,4666,5000,40
20190118,1,14.8,75,84,0.0,100.0,4649,5000,34
20190119,1,17.5,67,84,0.0,100.0,4723,5000,31
20190120,1,8.3,67,84,0.0,100.0,4655,5000,22
20190121,1,15.1,78,84,0.0,100.0,4867,5000,28
20190122,1,6.8,75,84,0.0,100.0,4711,5000,31
20190123,1,12.9,71,84,0.0,100.0,4768,5000,40
20190124,1,8.5,76,84,0.0,100.0,4584,5000,26
20190125,1,10.2,68,85,0.0,100.0,4787,5000,0
20190126,1,16.5,81,85,0.0,100.0,4720,5000,31
20190127,1,12.0,81,85,0.0,100.0,4584,5000,40
20190128,1,10.2,81,85,0.0,100.0,4634,5000,37
20190129,1,15.2,80,85,0.0,100.0,4769,5000,51
20190130,1,14.8,72,85,0.0,100.0,4842,5000,29
20190131,1,7.8,71,85,0.0,100.0,4683,5000,33
20190201,1,17.3,72,85,0.0,100.0,4603,5000,29
20190202,1,11.3,80,85,0.0,100.0,4855,5000,27
20190203,1,16.8,72,85,0.0,100.0,4591,5000,37
20190204,1,10.1,79,85,0.0,100.0,4717,5000,37
20190205,1,11.4,72,85,0.0,100.0,4909,5000,22
20190206,1,18.7,69,85,0.0,100.0,4748,5000,39
20190207,1,8.3,76,85,0.0,100.0,4843,5000,37
20190208,1,9.6,75,85,0.0,100.0,4744,5000,29
20190209,1,10.2,74,85,0.0,100.0,4717,5000,26
20190210,1,9.5,69,85,0.0,100.0,4624,5000,50
20190211,1,8.7,73,85,0.0,100.0,4579,5000,30
20190212,1,12.9,81,85,0.0,100.0,4850,5000,37
20190213,1,14.4,75,85,0.0,100.0,4744,5000,31
20190214,1,11.1,78,85,0.0,100.0,4849,5000,34
20190215,1,16.4,80,85,0.0,100.0,4779,5000,43
20190216,1,9.7,75,85,0.0,100.0,4737,5000,27
20190217,1,17.3,73,86,0.0,100.0,4936,5000,38
20190218,1,12.1,80,86,0.0,100.0,4612,5000,15
20190219,1,18.9,81,86,0.0,100.0,4618,5000,45
20190220,1,13.4,77,86,0.0,100.0,4639,5000,16
20190221,1,17.9,72,86,0.0,100.0,4780,5000,6
20190222,1,16.9,71,86,0.0,100.0,4727,5000,38
20190223,1,13.1,79,86,0.0,100.0,4556,5000,28
20190224,1,10.5,69,86,0.0,100.0,4738,5000,52
20190225,1,19.1,79,86,0.0,100.0,4943,5000,13
20190226,1,17.2,74,86,0.0,100.0,4571,5000,19
20190227,1,10.6,76,86,0.0,100.0,4629,5000,37
20190228,1,8.7,82,86,0.0,100.0,4794,5000,52
20190301,1,9.0,74,86,0.0,100.0,4620,5000,44
20190302,1,14.2,81,86,0.0,100.0,4632,5000,48
20190303,1,9.3,81,86,0.0,100.0,4735,5000,40
20190304,1,13.1,71,86,0.0,100.0,4600,5000,32
20190305,1,10.5,74,86,0.0,100.0,4637,5000,43
20190306,1,12.8,74,86,0.0,100.0,4932,5000,42
20190307,1,12.1,80,86,0.0,100.0,4667,5000,50
20190308,1,10.6,70,86,0.0,100.0,4535,5000,35
20190309,1,19.4,80,86,0.0,100.0,4642,5000,26
20190310,1,17.7,70,86,0.0,100.0,4597,5000,11
20190311,1,12.4,75,86,0.0,100.0,4828,5000,43
20190312,1,13.7,79,87,0.0,100.0,4558,5000,26
20190313,1,11.1,82,87,0.0,100.0,4877,5000,20
20190314,1,19.8,80,87,0.0,100.0,4936,5000,34
20190315,1,15.4,74,87,0.0,100.0,4647,5000,27
20190316,1,15.7,77,87,0.0,100.0,4634,5000,31
20190317,1,12.7,74,87,0.0,100.0,4843,5000,43
20190318,1,11.9,82,87,0.0,100.0,4767,5000,31
20190319,1,11.6,70,87,0.0,100.0,4531,5000,35
20190320,1,18.2,72,87,0.0,100.0,4613,5000,32
20190321,1,16.9,73,87,0.0,100.0,4936,5000,53
20190322,1,12.7,76,87,0.0,100.0,4834,5000,13
20190323,1,17.0,70,87,0.0,100.0,4851,5000,21
20190324,1,13.0,77,87,0.0,100.0,4623,5000,39
20190325,1,16.4,81,87,0.0,100.0,4832,5000,41
20190326,1,19.1,73,87,0.0,100.0,4850,5000,37
20190327,1,14.2,83,87,0.0,100.0,4612,5000,30
20190328,1,17.1,80,87,0.0,100.0,4923,5000,14
20190329,1,17.3,81,87,0.0,100.0,4530,5000,46
20190330,1,15.3,70,87,0.0,100.0,4742,5000,16
20190331,1,12.1,70,87,0.0,100.0,4917,5000,43
20190401,1,15.3,74,87,0.0,100.0,4560,5000,25
20190402,1,19.3,76,87,0.0,100.0,4657,5000,43
20190403,1,18.5,78,87,0.0,100.0,4937,5000,38
20190404,1,14.6,82,87,0.0,100.0,4552,5000,48
20190405,1,18.4,80,88,0.0,100.0,4668,5000,25
20190406,1,14.2,77,88,0.0,100.0,4881,5000,0
20190407,1,18.9,80,88,0.0,100.0,4638,5000,46
20190408,1,9.0,75,88,0.0,100.0,4905,5000,21
20190409,1,9.8,79,88,0.0,100.0,4635,5000,41
20190410,1,9.2,70,88,0.0,100.0,4822,5000,23
20190411,1,13.9,82,88,0.0,100.0,4599,5000,34
20190412,1,13.3,82,88,0.0,100.0,4716,5000,24
20190413,1,9.0,74,88,0.0,100.0,4552,5000,26
20190414,1,18.7,77,88,0.0,100.0,4777,5000,36
20190415,1,13.0,82,88,0.0,100.0,4626,5000,27
20190416,1,16.6,72,88,0.0,100.0,4724,5000,35
20190417,1,18.9,71,88,0.0,100.0,4540,5000,32
20190418,1,14.9,77,88,0.0,100.0,4645,5000,42
20190419,1,14.1,82,88,0.0,100.0,4779,5000,40
20190420,1,8.8,79,88,0.0,100.0,4592,5000,28
20190421,1,13.7,78,88,0.0,100.0,4514,5000,21
20190422,1,9.8,73,88,0.0,100.0,4792,5000,40
20190423,1,13.8,76,88,0.0,100.0,4585,5000,26
20190424,1,15.6,72,88,0.0,100.0,4677,5000,3
20190425,1,11.6,81,88,0.0,100.0,4732,5000,55
